Number,Hotel Names,Hotel Ratings,Number of Reviews,Hotel Prices
233,ibis Paris Gare de Lyon Reuilly,7.9,997 reviews,$295
234,Renewed and well-decorated apartment in Paris 12th,unrated,no review,$296
235,Hôtel Saint-Charles,8.2,"4,254 reviews",$296
236,Hotel Pilime,8.5,"1,345 reviews",$296
237,Chouette Hotel,8.5,"1,785 reviews",$296
238,Fred'Hotel,8.2,"1,512 reviews",$296
239,Hôtel Crimée,5.8,594 reviews,$296
240,Prince Albert Wagram,7.6,"1,347 reviews",$297
241,Apartments WS Tour Eiffel - Nicolo,7.1,619 reviews,$297
242,Best Western Le Montmartre – Saint Pierre,7.5,"1,780 reviews",$298
243,ibis Styles Paris Meteor Avenue d'Italie,8.5,"7,572 reviews",$298
244,Hotel 29 Lepic,8.0,"1,918 reviews",$298
245,Hôtel Du Leman,7.3,55 reviews,$298
246,ibis Styles Paris 16 Boulogne,8.3,"2,282 reviews",$299
247,Apartments WS Champs-Elysées - Colomb,8.2,746 reviews,$300
248,Apartments WS Grands Boulevards - Opera,7.2,251 reviews,$300
249,Apartments WS Haussmann - La Fayette,7.4,834 reviews,$300
250,Hôtel Mazagran,7.1,"1,962 reviews",$301
251,Hotel Moulin Plaza,7.9,"2,745 reviews",$301
252,Luxury 2 Bedroom & 2 Bathroom - Notre Dame,unrated,no review,$302
253,Hôtel Du Midi Paris Montparnasse,8.2,"2,270 reviews",$302
254,Boileau,7.8,548 reviews,$302
255,Novotel Suites Paris Expo Porte de Versailles,8.5,"2,996 reviews",$303
256,Convention Montparnasse,7.9,"1,705 reviews",$303
257,Palym,8.2,"4,113 reviews",$303
258,Hotel Monterosa - Astotel,8.6,596 reviews,$303
259,Hôtel Aston,7.6,"2,763 reviews",$303
260,ibis Styles Paris Tolbiac Bibliotheque,8.3,"2,196 reviews",$303
261,Timhotel Nation,6.9,933 reviews,$303
262,B&B HOTEL Paris 17 Batignolles,7.9,"11,997 reviews",$305
263,Libertel Gare Du Nord Suede,7.9,"1,405 reviews",$305
264,Résidence Sacré Coeur,9.7,4 reviews,$305
265,Mercure Paris Opera Grands Boulevards,7.9,565 reviews,$306
266,Unic Renoir Saint Germain,6.6,"1,418 reviews",$306
267,Hotel Regina Montmartre,5.0,"1,080 reviews",$307
268,Les Artistes,7.1,"1,377 reviews",$307
269,Parc Hotel,7.6,"1,082 reviews",$307
270,La Suite à Chatelet,7.9,19 reviews,$307
271,Novotel Paris 17,7.8,"1,748 reviews",$307
272,Hôtel Villa Bohème,8.3,"1,135 reviews",$308
273,Luxury 2 bedroom - Marais & Louvre,7.9,9 reviews,$308
274,Libertel Canal Saint Martin,7.8,"1,358 reviews",$308
275,Best Western Plus Opéra Batignolles,8.0,"1,236 reviews",$309
276,Best Western Plus Opéra Batignolles,8.0,"1,236 reviews",$309
277,Hôtel 15 Montparnasse,8.3,651 reviews,$309
278,Hotel Boronali,7.2,"1,369 reviews",$309
279,Le Quartier Bercy-Square,8.3,"3,335 reviews",$310
280,Hôtel Tilde,7.7,"2,903 reviews",$311
281,Hôtel Paris Vaugirard,8.1,"4,302 reviews",$311
282,Mercure Paris Gare de l'Est,8.0,"1,161 reviews",$312
283,Hotel Restaurant Au Boeuf Couronné,8.4,"1,933 reviews",$312
284,Luxury 2 bedroom Apartment with AC near Louvre,7.2,25 reviews,$312
285,Hotel Le Clery,8.0,568 reviews,$313
286,APPARTEMENT 15ième,7.4,19 reviews,$313
287,Mercure Paris Pigalle Sacre Coeur,8.2,"1,060 reviews",$313
288,Hotel The Playce by Happyculture,7.7,"2,204 reviews",$315
289,Timhotel Odessa Montparnasse,7.7,"2,097 reviews",$315
290,Acropole,8.4,547 reviews,$315
291,CMG - Bonne nouvelle - Rex,8.5,2 reviews,$316
292,Hôtel Noir,8.3,584 reviews,$316
293,Agate Hôtel,8.2,"2,007 reviews",$317
