Number,Hotel Names,Hotel Ratings,Number of Reviews,Hotel Prices
866,Hôtel de la Motte Picquet,8.6,773 reviews,$510
867,Hotel Fior d'Aliza,9.1,661 reviews,$512
868,Villa Alessandra,8.0,730 reviews,$513
869,Hotel Louison,8.5,894 reviews,$513
870,Villa Montparnasse,7.7,954 reviews,$516
871,Hotel L’Antoine,8.4,"1,317 reviews",$516
872,Chalgrin Boutique Hotel,8.1,"1,294 reviews",$517
873,Hôtel de Varenne,8.4,600 reviews,$518
874,Snob Hotel by Elegancia,8.4,696 reviews,$518
875,Hotel Le Friedland,8.6,819 reviews,$520
876,Odéon - Notre Dame Paris Climatisé-Wifi,9.2,300 reviews,$521
877,Hôtel Volney Opéra,8.3,"2,096 reviews",$521
878,Royal Garden Champs-Élysées,8.5,384 reviews,$521
879,Hôtel Gramont,8.6,"1,203 reviews",$521
880,Hôtel du Danube Saint Germain,8.5,902 reviews,$522
881,Hotel Marais Grands Boulevards,8.1,"1,323 reviews",$523
882,Hôtel Toujours & Spa,8.2,843 reviews,$523
883,Hôtel Maxim Opéra,8.4,853 reviews,$523
884,La Villa Haussmann,8.9,"1,566 reviews",$524
885,Hotel Ares Eiffel,8.3,"1,419 reviews",$525
886,Hôtel le Royal Rive Gauche,8.5,"1,071 reviews",$525
887,Hôtel Londres Saint Honoré,8.1,"2,026 reviews",$526
888,Arc de Triomphe Superbe Appartement Paris,8.3,23 reviews,$526
889,Hôtel Belloy Saint Germain,8.0,685 reviews,$527
890,Hôtel Marais Hôme,8.2,"1,236 reviews",$527
891,Le Citizen Hotel,8.7,548 reviews,$527
892,Apart hotel Louvre Centre de Paris (Pélican),6.5,41 reviews,$527
893,Mom'Art Hotel,8.9,910 reviews,$527
894,Hotel Elysees Opera,8.5,567 reviews,$529
895,Hôtel Thoumieux,8.5,367 reviews,$530
896,Suites & Hôtel Helzear Champs-Elysées,8.2,"1,393 reviews",$530
897,Hotel des Académies et des Arts,8.9,448 reviews,$530
898,Grand Hôtel Malher,8.4,654 reviews,$530
899,Hotel de la Paix Tour Eiffel,8.3,923 reviews,$531
900,Hôtel Le Bellechasse Saint-Germain,8.6,928 reviews,$531
901,PLEY Hotel,8.3,"1,273 reviews",$531
902,Maison Mère,9.0,"1,014 reviews",$532
903,"Hôtel Littéraire Arthur Rimbaud, BW Signature Collection",8.0,"1,467 reviews",$532
904,Hotel Armoni Paris,8.1,"1,846 reviews",$533
905,Golden Tulip Opera de Noailles,8.5,"1,885 reviews",$533
906,B Montmartre,8.9,"2,512 reviews",$533
907,Hôtel Gabriel Paris,8.4,849 reviews,$534
908,Paris Art Hotel Quartier Latin by Malone,8.5,"1,066 reviews",$534
909,Queens Boutique Hotel,8.5,553 reviews,$534
910,Hôtel Monsieur Aristide,9.0,678 reviews,$536
911,Artemisia Montmartre,8.7,98 reviews,$536
912,Hotel Ekta Champs Elysées,8.8,"1,278 reviews",$537
913,Hôtel Le Compostelle,8.0,"1,212 reviews",$537
914,Paris France Hotel,8.6,"2,303 reviews",$539
915,"Hôtel Capfun Le Saint Germain, Paris",8.2,725 reviews,$539
916,HOTEL SOOKIE,8.7,452 reviews,$540
917,Leonardo Boutique Hotel Paris Opera previously Hotel Prelude Opera,8.7,"3,370 reviews",$541
918,Citadines Opéra Paris,8.2,758 reviews,$542
919,Kube Hotel Paris - Ice Bar,7.9,497 reviews,$542
920,Hôtel Fabric,9.2,"1,116 reviews",$542
921,Lovely haussmannian flat in Montparnasse,9.0,2 reviews,$543
922,Hôtel Eiffel Turenne,8.6,"1,535 reviews",$543
923,Appartement familiale sauna Paris 10 - 8P,10,4 reviews,$543
924,Villa Lutèce Port Royal,7.2,"1,052 reviews",$545
925,Hôtel Le Colisée,8.0,911 reviews,$545
926,Dream Hôtel Opéra & Spa,8.1,872 reviews,$545
927,Hotel de L'Empereur by Malone,8.6,957 reviews,$545
928,Hotel Relais Bosquet by Malone,8.7,"1,033 reviews",$545
929,Golden Tulip Washington Opera,8.4,"1,180 reviews",$546
930,Hôtel Esté,8.7,437 reviews,$548
931,YOOMA Urban Lodge,8.2,"4,253 reviews",$548
932,Excelsior Opera,8.5,562 reviews,$548
933,Le Malown,7.8,"1,202 reviews",$548
934,Hôtel Jacques De Molay,8.3,"1,349 reviews",$549
935,Nice and cozy 1b apartment in the heart of Paris,8.1,22 reviews,$549
936,Hôtel Bassano,8.3,809 reviews,$549
937,Mercure Paris Tour Eiffel Pont Mirabeau,7.6,367 reviews,$550
938,Hôtel Duo,8.3,815 reviews,$550
939,Belfast,7.6,"1,054 reviews",$550
940,Hôtel Maxim Quartier Latin,8.2,"1,607 reviews",$551
941,Aparthotel Adagio Paris Centre Tour Eiffel,7.3,"2,703 reviews",$552
942,Hôtel Prince de Conti,7.6,285 reviews,$552
943,Le Tsuba Hotel,8.8,"1,378 reviews",$552
944,Hôtel du Levant,8.4,"2,241 reviews",$554
945,Le Patio Bastille,8.2,"1,969 reviews",$555
946,Hotel Muguet,9.0,809 reviews,$556
947,Melia Paris Champs Elysées,7.5,315 reviews,$556
948,"Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel",8.5,"2,397 reviews",$557
949,citizenM Paris Champs-Élysées,8.5,"2,682 reviews",$557
950,citizenM Paris Opera,8.7,306 reviews,$557
951,Le Belleval,8.7,"1,032 reviews",$557
952,Hôtel de la Place du Louvre - Esprit de France,7.9,253 reviews,$558
953,Hôtel Amoi Paris,8.8,748 reviews,$560
954,Doisy Etoile - Orso Hotels,8.1,661 reviews,$560
955,Les Plumes Hotel,8.3,450 reviews,$560
956,Hôtel Relais Monceau,7.8,870 reviews,$560
957,Cler Hotel,8.8,"1,101 reviews",$560
958,HOTEL DU PRINTEMPS,7.8,"1,817 reviews",$560
959,Longchamp Elysées,8.5,"1,043 reviews",$560
960,Hotel Elysees 8,8.6,442 reviews,$560
961,Hôtel de Banville,8.8,"1,394 reviews",$563
962,Best Western Plus Hotel Sydney Opera,9.0,"1,543 reviews",$563
963,Etoile Park Hotel,7.5,"2,028 reviews",$563
964,Hotel Paradiso,8.7,543 reviews,$563
965,Grand Hotel Saint Michel,8.2,"1,112 reviews",$564
966,Le Senat,8.2,536 reviews,$565
967,Hotel Saint Christophe,8.5,"1,684 reviews",$565
968,Hôtel B55,8.6,879 reviews,$566
969,Hôtel Le Tourville by Inwood Hotels,8.6,429 reviews,$566
970,Marceau Champs-Elysées,8.1,"1,116 reviews",$566
971,Hotel Rochechouart - Orso Hotels,8.5,"1,656 reviews",$568
972,Hotel Louis II,8.9,407 reviews,$568
973,Le Rayz Vendome,8.6,"1,238 reviews",$569
974,"Holiday Inn Paris Elysées, an IHG Hotel",8.4,683 reviews,$570
975,Au Manoir Saint Germain,8.4,750 reviews,$570
976,Hotel le Lapin Blanc,8.6,694 reviews,$570
977,Hôtel Galileo Champs Elysées,8.5,"1,638 reviews",$570
978,Novotel Paris Gare De Lyon,8.3,880 reviews,$570
979,Mode Paris Aparthotel,9.1,307 reviews,$570
980,Hôtel Chateaubriand,7.9,326 reviews,$570
981,Hotel Eiffel Blomet,8.7,"2,489 reviews",$571
982,Passy Eiffel,8.4,"1,347 reviews",$572
983,ibis Styles Paris Opera Lafayette,8.1,308 reviews,$573
984,Hotel Saint-Louis Marais,8.8,"1,257 reviews",$573
985,Hôtel Louvre Piemont,8.6,901 reviews,$576
986,Luxury 5 Bedrooms 3 Bathrooms Apartment - Opera,9.3,3 reviews,$576
987,Hôtel du Continent,8.5,647 reviews,$577
988,Hotel Pulitzer Paris,8.9,216 reviews,$578
989,Royal Saint Michel,8.0,"1,544 reviews",$578
990,Hôtel Victor Hugo Paris Kléber,8.4,809 reviews,$578
991,Rochester Champs Elysees,8.5,"1,011 reviews",$580
992,Platine Hotel,8.2,846 reviews,$582
993,Hotel Le Chat Noir,8.0,"1,588 reviews",$583
994,New Hotel Roblin,8.3,"1,311 reviews",$584
995,AC Hotel Paris Porte Maillot by Marriott,8.2,707 reviews,$585
996,Hôtel de Joséphine BONAPARTE,9.2,434 reviews,$585
997,Sonder L'Edmond Parc Monceau,8.5,933 reviews,$585
998,Hotel Louvre Sainte Anne,8.7,335 reviews,$588
999,Balmoral Champs Elysées,8.4,436 reviews,$589
1000,Hôtel Le Marquis by Inwood Hotels,8.7,"1,008 reviews",$589
